p_div,func_decline,p_diff,p_die,fitness
0.113667,0.292183,0.482445,0.287738,0.708403
0.0974464,19.5283,0.441969,0.137957,0.708403
0.00331134,11.0633,0.610263,0.0127608,0.268558
0.349637,14.9881,0.04509,0.216397,0.694494
0.595366,0.732649,0.249419,0.0536536,15.1256
0.599589,19.6139,0.0141557,0.0866611,43.8539
0.0539106,11.4724,0.478651,0.272927,0.708403
0.133899,10.046,0.206823,0.608856,0.708403
0.391279,10.6659,0.478162,0.0789706,0.19649
0.370123,5.24806,0.495841,0.016526,0.302508
0.538516,15.5763,0.126414,0.234714,1.23485
0.526331,8.45304,0.233894,0.00515404,16.9952
0.0246125,3.95269,0.741439,0.188447,0.708403
0.0400642,6.92481,0.331455,0.521355,0.708403
0.315879,16.3153,0.0553971,0.436107,0.708403
0.0637701,8.48786,0.145721,0.213118,0.43316
0.381842,12.49,0.0804887,0.24651,0.338617
0.138462,18.7516,0.692596,0.0714469,0.308964
0.0612606,17.2783,0.439744,0.0936525,0.361092
0.343312,18.212,0.0958858,0.0406184,7.81759
0.259298,5.3269,0.502067,0.0841179,0.148444
0.113776,16.672,0.772441,0.0790467,0.361092
0.207353,10.0901,0.318739,0.180675,0.708403
0.296288,18.6956,0.570481,0.10552,0.361092
0.358919,18.4124,0.238967,0.186949,0.583778
0.304913,2.457,0.163268,0.402745,0.708403
0.0848936,10.0854,0.110897,0.0568877,0.19649
0.246545,10.29,0.580467,0.121847,0.308964
0.359441,10.603,0.0228299,0.200133,1.16643
0.384665,2.03402,0.131926,0.325858,0.708403
0.4658,11.4401,0.164291,0.208381,1.11711
0.578969,14.6004,0.10737,0.302199,2.09638
0.399141,19.7959,0.428224,0.145086,0.48437
0.454557,2.94562,0.217652,0.226456,0.107411
0.184634,1.40234,0.750283,0.0641064,0.0682192
0.222335,14.7287,0.52516,0.141482,0.27264
0.0967643,16.6689,0.753991,0.122419,0.43316
0.0383321,14.771,0.788048,0.0745371,0.361092
0.164851,11.9427,0.0521464,0.704916,0.708403
0.125876,6.26855,0.293572,0.164539,0.60823
0.347679,10.8811,0.309273,0.0724094,0.724641
0.292643,18.8215,0.387902,0.143261,0.308964
0.240307,19.2278,0.735222,0.00806494,0.269784
0.415683,19.7297,0.0831539,0.425856,0.708403
0.0918448,13.0166,0.545236,0.288577,0.708403
0.427002,16.5228,0.0542032,0.210766,2.72406
0.292334,16.7305,0.0624456,0.219978,0.306039
0.383753,3.73265,0.407456,0.194435,0.381032
0.0842268,5.67109,0.816044,0.0449651,0.256837
0.431019,14.6773,0.085977,0.144074,6.05867
0.521643,16.5021,0.434158,0.0279977,3.25468
0.339818,5.72192,0.422976,0.114184,0.27264
0.149831,17.3938,0.522228,0.283146,0.708403
0.542052,7.20539,0.152116,0.123082,10.2005
0.581564,7.59209,0.115016,0.168744,10.3058
0.148846,8.65675,0.495911,0.305649,0.708403
0.465387,18.1984,0.113394,0.298373,0.682229
0.442129,6.28088,0.0841623,0.41286,0.391981
0.203601,4.89359,0.504062,0.0814461,0.341543
0.528416,3.78548,0.0813902,0.380073,1.87677
0.238926,6.60665,0.668289,0.0303153,0.167974
0.0603662,6.25448,0.767328,0.0214329,0.210693
0.278584,14.3255,0.594347,0.123524,0.43316
0.590278,16.0899,0.345336,0.0326321,4.14767
0.301878,13.8569,0.353786,0.0919313,0.0864977
0.520717,11.8575,0.176621,0.0958895,8.50332
0.152258,5.32336,0.110344,0.425587,0.708403
0.250068,3.44994,0.505063,0.200655,0.708403
0.191885,16.2298,0.658107,0.129501,0.308964
0.035933,16.8556,0.85786,0.0383934,0.184769
0.464621,18.5017,0.396462,0.123145,0.308964
0.192835,13.0239,0.654082,0.0489854,0.122823
0.152254,10.4563,0.678953,0.0859378,0.48437
0.23824,14.9787,0.255693,0.434225,0.708403
0.422763,11.2414,0.346307,0.0159485,1.25455
0.334979,1.51754,0.594927,0.027233,0.464494
0.578252,13.5156,0.114062,0.0739253,22.9547
0.439514,19.4199,0.0411706,0.108695,9.4781
0.576442,3.98172,0.1044,0.305208,0.982763
0.260671,8.96707,0.170034,0.48493,0.708403
0.373593,15.4426,0.100686,0.0737341,5.6333
0.583355,17.4483,0.0243864,0.232571,13.9508
0.529567,10.2431,0.432816,0.0292182,2.62174
0.436565,12.838,0.42482,0.115821,0.419556
0.406331,3.10296,0.0466261,0.151765,7.54596
0.271481,19.8298,0.520505,0.0912889,0.174129
0.209722,6.46632,0.570628,0.0259981,0.218913
0.203393,0.982101,0.723519,0.0638166,0.232814
0.0997929,4.45949,0.241788,0.0580067,0.127732
0.0330903,5.59567,0.402109,0.310479,0.708403
0.214714,19.9538,0.273096,0.0693939,0.156664
0.441742,7.37469,0.349959,0.0236448,2.24526
0.215305,19.8505,0.197824,0.0666129,0.24705
0.0135545,15.1767,0.437164,0.10267,0.60823
0.274679,4.18172,0.603864,0.0440805,0.0857527
0.278916,19.8167,0.297704,0.201925,0.708403
0.194213,16.7881,0.498619,0.0590407,0.119512
0.154057,4.16753,0.00314642,0.58823,0.708403
0.0720469,19.266,0.271768,0.546575,0.708403
0.556998,18.9743,0.438652,0.00147362,1.38718
0.599589,19.6139,0.0141557,0.123082,32.1936
0.599589,13.5156,0.0141557,0.0866611,42.5845
0.599589,19.6139,0.0141557,0.0866611,47.8568
0.599589,19.6139,0.0141557,0.00515404,55.4344
0.529567,19.6139,0.0141557,0.0866611,33.2778
0.578252,19.6139,0.0141557,0.0866611,44.1684
0.23824,19.6139,0.0141557,0.0866611,4.00516
0.599589,13.5156,0.114062,0.0739253,22.941
0.578252,18.9743,0.114062,0.0739253,23.3839
0.578252,13.5156,0.114062,0.027233,29.6011
0.271481,19.8298,0.520505,0.0912889,0.220512
0.203393,0.982101,0.723519,0.0638166,0.172467
0.4658,15.4426,0.164291,0.208381,1.04046
0.343312,18.212,0.0958858,0.0406184,7.25505
0.583355,17.4483,0.0243864,0.00515404,56.2189
0.526331,8.45304,0.233894,0.00515404,4.38826
0.301878,13.8569,0.353786,0.0919313,0.185514
0.0400642,6.92481,0.331455,0.521355,0.708403
0.343312,18.212,0.10737,0.0406184,5.78327
0.542052,7.20539,0.176621,0.123082,9.60459
0.278916,19.8167,0.297704,0.201925,0.60823
0.431019,14.6773,0.164291,0.144074,1.35297
0.035933,16.8556,0.85786,0.0383934,0.19649
0.347679,18.212,0.0958858,0.0406184,5.12826
0.0400642,6.92481,0.331455,0.521355,0.708403
0.343312,18.212,0.0958858,0.0406184,7.31131
0.343312,18.212,0.0521464,0.0406184,9.48001
0.581564,7.59209,0.115016,0.168744,6.61202
0.441742,7.37469,0.349959,0.0236448,0.215654
0.23824,10.2431,0.432816,0.0292182,0.163836
0.578252,16.5021,0.434158,0.0279977,2.19613
0.343312,10.8811,0.0958858,0.0406184,6.48993
0.222335,14.7287,0.52516,0.141482,0.520695
0.194213,16.7881,0.498619,0.0590407,0.174129
0.590278,14.6004,0.345336,0.0326321,7.61964
0.0918448,13.0166,0.545236,0.288577,0.708403
0.370123,5.24806,0.495841,0.016526,0.381048
0.192835,13.0239,0.654082,0.0489854,0.220512
0.441742,7.37469,0.349959,0.0236448,1.34347
0.0330903,5.59567,0.402109,0.310479,0.708403
0.4658,15.4426,0.164291,0.208381,0.925162
0.0603662,6.25448,0.767328,0.0214329,0.256837
0.0974464,19.5283,0.441969,0.137957,0.43316
0.427002,8.45304,0.233894,0.00515404,4.88361
0.164851,11.9427,0.0521464,0.704916,0.708403
0.23824,10.2431,0.432816,0.0292182,0.14145
0.154057,4.16753,0.00314642,0.58823,0.708403
0.0246125,3.95269,0.741439,0.188447,0.708403
0.347679,18.212,0.0958858,0.0406184,6.27825
0.526331,8.45304,0.233894,0.00515404,13.1297
0.526331,8.45304,0.233894,0.00515404,12.8735
0.0383321,14.771,0.788048,0.0745371,0.361092
0.343312,18.212,0.0958858,0.0406184,7.74896
0.526331,8.45304,0.233894,0.232571,0.672248
0.556998,18.9743,0.438652,0.00147362,3.64213
0.343312,18.212,0.0958858,0.0406184,7.5993
0.347679,18.212,0.0958858,0.0406184,5.0376
0.315879,16.3153,0.0553971,0.0279977,6.3618
0.578252,19.6139,0.114062,0.0739253,27.5084
0.349637,14.9881,0.04509,0.216397,0.975273
0.576442,14.6004,0.1044,0.305208,1.3529
0.422763,19.4199,0.346307,0.0159485,1.06562
0.0135545,15.1767,0.437164,0.10267,0.43316
0.0997929,4.45949,0.241788,0.0580067,0.250279
0.343312,10.8811,0.309273,0.0724094,0.348651
0.209722,6.46632,0.570628,0.0259981,0.247438
0.599589,10.2431,0.432816,0.0292182,2.39461
0.406331,3.10296,0.0466261,0.151765,5.72868
0.343312,10.8811,0.309273,0.0724094,0.430999
0.427002,8.45304,0.233894,0.00515404,4.15512
0.521643,16.5021,0.434158,0.0279977,1.06031
0.203393,0.982101,0.723519,0.0638166,0.158566
0.0842268,5.67109,0.816044,0.0449651,0.232814
0.0848936,10.0854,0.110897,0.0568877,0.0466725
0.296288,18.6956,0.570481,0.10552,0.520695
0.23824,10.2431,0.432816,0.0292182,0.122823
0.538516,15.5763,0.126414,0.234714,1.12261
0.465387,18.1984,0.113394,0.298373,0.571936
0.339818,5.72192,0.422976,0.114184,0.210789
0.00331134,11.0633,0.610263,0.0127608,0.424996
0.422763,11.2414,0.346307,0.0159485,0.858774
0.292334,16.7305,0.0624456,0.219978,0.432603
