p_div,func_decline,p_diff,p_die,fitness
0.43389,7.36116,0.49263,0.0620606,-0.155848
0.513447,7.42325,0.270131,0.0952718,-6.22821
0.069527,5.79624,0.346716,0.204701,-0.794234
0.440928,5.06136,0.0761456,0.133709,-11.9896
0.547103,16.3089,0.451745,0.00105403,-4.91119
0.00807754,16.8542,0.398964,0.341145,-0.794234
0.290246,6.6257,0.693758,0.0141663,-0.114264
0.587936,14.2959,0.396728,0.008178,-9.31767
0.316301,8.34744,0.414342,0.17169,-0.653739
0.484568,17.1787,0.21474,0.112176,-5.88352
0.382195,4.06952,0.360816,0.0135857,-1.07122
0.142225,8.39437,0.752628,0.0733994,-0.481183
0.588382,11.1227,0.223429,0.0305705,-32.4533
0.337074,6.99524,0.509693,0.0991615,-0.506111
0.518745,18.2801,0.301628,0.089876,-5.03975
0.323701,17.906,0.010516,0.139005,-9.15006
0.167564,5.45862,0.251839,0.175565,-0.794234
0.232421,0.223829,0.0845047,0.0434022,-6.15719
0.260554,14.4796,0.71729,0.000487651,-0.242777
0.337453,5.18585,0.58153,0.0342892,-0.0418454
0.54317,1.88743,0.163096,0.0993007,-28.6137
0.438319,18.8237,0.509734,0.0166032,-0.529879
0.221315,17.3459,0.108184,0.0497923,-1.21384
0.216985,7.46249,0.119867,0.348249,-0.794234
0.0164943,17.7391,0.421154,0.0452824,-0.324801
0.16233,11.0421,0.70364,0.0545885,-0.396797
0.393652,17.6287,0.143475,0.145134,-1.74248
0.0755589,2.17167,0.743791,0.176331,-0.794234
0.162673,5.79277,0.361152,0.0774648,-0.497704
0.385962,13.4891,0.0503021,0.117821,-12.978
0.276186,10.5941,0.68401,0.0169185,-0.155322
0.373311,2.49823,0.145115,0.44168,-0.794234
0.00376963,7.61368,0.154819,0.483052,-0.794234
0.507162,8.99085,0.17725,0.0261164,-30.7792
0.561084,18.4959,0.0515904,0.0833474,-68.3102
0.520586,15.6734,0.367779,0.00792731,-8.9536
0.390328,15.6397,0.0916586,0.136114,-6.42205
0.0774132,13.0172,0.715195,0.0599484,-0.438372
0.334251,12.1284,0.383252,0.211694,-0.767118
0.20434,18.573,0.371993,0.0591417,-0.252501
0.327152,19.0563,0.529848,0.0331173,-0.0531572
0.317781,13.6785,0.655041,0.00261157,-0.228796
0.515792,12.4476,0.410793,0.0196376,-2.62717
0.575674,17.9326,0.2181,0.177904,-7.11099
0.0662511,8.67618,0.0153583,0.241332,-0.794234
0.475058,5.79433,0.449461,0.050719,-0.263411
0.278075,4.89019,0.0844814,0.120198,-1.30425
0.101495,1.7951,0.379028,0.0313017,-0.13436
0.497225,14.7858,0.463388,0.0308344,-0.939211
0.344968,5.36993,0.402395,0.076097,-0.182904
0.137909,2.54185,0.38922,0.171109,-0.794234
0.0641749,9.94885,0.478089,0.365559,-0.794234
0.137446,14.6194,0.11315,0.598156,-0.794234
0.159826,9.9203,0.100195,0.0751551,-0.158758
0.419632,15.5867,0.475807,0.0467439,-0.0960415
0.512311,11.4439,0.306531,0.104768,-3.08841
0.493636,19.5627,0.487013,0.0152797,-1.0376
0.107432,5.25605,0.19246,0.544521,-0.794234
0.226691,19.0765,0.200433,0.390552,-0.794234
0.495451,4.82494,0.0738637,0.27764,-2.89952
0.257979,3.26387,0.524357,0.20554,-0.794234
0.379385,7.92733,0.427091,0.193172,-0.749611
0.579796,8.70033,0.0600569,0.00544045,-118.117
0.362563,12.4822,0.0446241,0.535112,-0.794234
0.00216701,18.5346,0.425112,0.538978,-0.794234
0.454693,6.85551,0.48171,0.015595,-0.591463
0.197436,5.93687,0.334656,0.0517634,-0.203306
0.0594307,17.2855,0.815363,0.0629228,-0.509028
0.244515,6.37041,0.0508376,0.520877,-0.794234
0.275969,3.5837,0.531947,0.0618465,-0.282439
0.569156,16.7955,0.157128,0.0247512,-52.057
0.388306,18.6173,0.112067,0.0876353,-12.7899
0.481314,5.92641,0.28261,0.168476,-1.14322
0.594069,17.2833,0.249242,0.122602,-16.1372
0.145908,4.41959,0.282267,0.363423,-0.794234
0.140386,1.24574,0.0869864,0.449545,-0.794234
0.0588097,10.9763,0.297525,0.511485,-0.794234
0.138663,11.4405,0.102309,0.236713,-0.794234
0.599362,14.3497,0.160157,0.0351188,-56.5427
0.526386,5.07282,0.25076,0.133685,-4.37184
0.062603,15.2364,0.107656,0.402505,-0.794234
0.337659,13.5441,0.282103,0.120646,-0.513129
0.10349,8.81635,0.762677,0.041599,-0.278013
0.185835,19.9703,0.0764563,0.310731,-0.794234
0.473198,5.85567,0.440873,0.00345584,-2.21476
0.317204,2.29704,0.565276,0.0428392,-0.0531739
0.530829,16.4911,0.140687,0.267107,-3.05927
0.329487,15.6087,0.317684,0.271312,-0.794234
0.381534,17.7487,0.120262,0.419942,-0.742347
0.341517,17.7778,0.522014,0.00409801,-0.265205
0.38491,1.07153,0.117151,0.0888263,-8.28896
0.102322,2.668,0.830938,0.0387804,-0.323819
0.517267,15.8854,0.168944,0.298254,-0.77808
0.0342044,11.4112,0.24401,0.363717,-0.794234
0.078293,9.54002,0.242635,0.539008,-0.794234
0.487529,3.48741,0.364268,0.0582906,-3.13068
0.415958,10.2301,0.546489,0.0273153,-0.145968
0.52122,15.7513,0.362904,0.0130366,-5.93238
0.0276518,1.9295,0.34375,0.276464,-0.794234
0.492274,15.922,0.226694,0.00799291,-24.2971
0.381534,5.18585,0.58153,0.0342892,-0.0352133
0.349886,18.7093,0.614423,0.062602,-0.314086
0.337453,5.18585,0.58153,0.0342892,-0.0572982
0.419632,5.18585,0.58153,0.0342892,-0.0378201
0.337453,5.18585,0.58153,0.0342892,-0.0461013
0.337453,5.18585,0.58153,0.0342892,-0.0333239
0.337453,5.18585,0.58153,0.0618465,-0.145302
0.218601,19.1381,0.813411,0.0219529,-0.135926
0.327152,19.0563,0.529848,0.0331173,-0.0452729
0.327152,19.0563,0.531947,0.0331173,-0.0723842
0.276186,18.573,0.371993,0.0591417,-0.316735
0.16233,9.9203,0.70364,0.0545885,-0.376646
0.062603,17.7391,0.421154,0.0452824,-0.334944
0.260554,5.93687,0.71729,0.000487651,-0.22847
0.197436,5.93687,0.752628,0.0517634,-0.371374
0.045505,8.79123,0.891316,0.0749123,-0.59869
0.481314,5.92641,0.28261,0.168476,-0.846955
0.0641749,9.94885,0.478089,0.365559,-0.794234
0.276186,10.5941,0.68401,0.0169185,-0.105701
