p_div,func_decline,p_diff,p_die,fitness
0.246468,3.88496,0.539181,0.0103197,-0.45
0.0826739,3.99735,0.717215,-0.0330581,-0.45
0.246964,3.88496,0.539181,0.0103197,-0.45
0.246964,3.88496,0.539181,0.0103197,-0.45
0.246964,3.88496,0.539181,0.0103197,-0.45
0.246964,3.88496,0.539181,0.0103197,-0.45
0.246964,3.88496,0.539181,0.0103197,-0.46
0.246468,3.88496,0.539181,0.0103197,-0.46
0.246964,3.88496,0.539181,0.0103197,-0.46
0.246468,3.95392,0.539181,0.0103197,-0.5
0.246964,3.88496,0.430518,0.0103197,-0.53
0.268289,3.74637,0.582748,-0.0434288,-0.84
0.246468,3.88496,0.539181,0.0103197,-0.61
0.246468,3.88496,0.539181,0.0103197,-0.75
0.217208,3.8465,0.671028,0.115274,-7.69
0.246964,3.88496,0.539181,0.0103197,-0.53
0.246468,3.88496,0.539181,0.0103197,-0.84
0.246468,3.88496,0.650421,0.0103197,-1.47
0.246468,3.88496,0.539181,0.0103197,-0.75
0.246964,3.95392,0.539181,0.0103197,-0.93
0.246468,3.88496,0.539181,0.0103197,-0.75
0.246964,3.95392,0.539181,0.0103197,-0.93
0.246964,3.88496,0.539181,0.0103197,-1.1
0.246964,3.88496,0.539181,0.0103197,-0.7
0.246468,3.88496,0.539181,0.0103197,-2.09
0.246468,3.95392,0.539181,0.0103197,-0.86
0.246468,3.88496,0.430518,0.0103197,-0.95
0.14463,3.86652,0.511137,-0.0421651,-1.3
0.246468,3.88496,0.539181,0.0103197,-2.41
0.168048,3.84235,0.455084,0.107472,-0.7
0.246964,3.88496,0.539181,0.0103197,-7.45
0.284381,3.87229,0.57241,0.0154785,-1.05
0.246964,3.95392,0.539181,0.0103197,-0.93
0.313969,3.88496,0.539181,0.0103197,-0.52
0.246468,3.88496,0.539181,0.0103197,-1.08
0.246468,3.95392,0.539181,0.0103197,-1.49
0.246468,3.88496,0.539181,0.0103197,-0.69
0.246468,3.88496,0.539181,0.0103197,-1.92
0.246468,3.88496,0.539181,0.0103197,-0.55
0.246468,3.95392,0.539181,0.0103197,-0.55
0.246964,3.88496,0.539181,0.0103197,-0.69
0.246964,3.88496,0.539181,0.0103197,-0.7
0.246468,3.88496,0.539181,0.0103197,-2.55
0.246468,3.88496,0.539181,0.0103197,-1.32
0.246964,3.88496,0.539181,0.0103197,-0.97
0.246964,3.88496,0.539181,0.0103197,-0.53
0.246468,3.88496,0.539181,0.0103197,-1.23
0.246964,3.88439,0.539181,0.0103197,-0.97
0.246468,3.88496,0.650421,0.0103197,-0.91
0.246468,3.88496,0.539181,0.0103197,-3.8
0.246468,3.88496,0.539181,0.0103197,-0.52
0.246964,3.88496,0.539181,0.0103197,-2.86
0.246468,3.88496,0.539181,0.0103197,-2.41
0.246468,3.88496,0.539181,0.0103197,-0.61
0.246964,3.88496,0.539181,0.0103197,-0.53
0.246964,3.88496,0.539181,0.0103197,-1.17
0.246468,3.88496,0.539181,0.0103197,-0.63
0.246964,3.88496,0.539181,0.0103197,-0.53
0.246468,3.88496,0.539181,0.0103197,-2.09
0.246468,3.88496,0.615077,0.0103197,-0.69
0.246468,3.88496,0.539181,0.0103197,-0.65
0.246468,3.88496,0.539181,0.0103197,-3.8
0.246468,3.88496,0.539181,0.0103197,-0.61
0.246468,3.88496,0.615077,0.0103197,-0.7
0.246468,3.88496,0.539181,0.0103197,-0.52
0.253985,3.87397,0.539181,0.0365282,-2.07
0.460814,3.93416,0.467851,-0.0493234,-9741.52
0.246468,3.81576,0.532737,0.0146285,-1.06
0.246468,3.95392,0.539181,0.0103197,-0.86
0.246468,3.88496,0.539181,0.0103197,-1.72
0.246964,3.95392,0.539181,0.0103197,-0.93
0.246468,3.95392,0.539181,0.0103197,-0.54
0.136441,3.98584,0.482667,0.0440338,-4.43
0.246468,3.88496,0.539181,0.0103197,-2.79
0.190735,3.79175,0.663651,0.135971,-0.55
0.253985,3.87397,0.539181,0.0365282,-3.3
0.246468,3.95392,0.539181,0.0103197,-1.46
0.246468,3.88439,0.539181,0.0103197,-0.88
0.313969,3.88496,0.539181,0.0103197,-0.52
0.246964,3.88496,0.539181,0.0103197,-0.53
0.246468,3.95392,0.539181,0.0103197,-0.54
0.246468,3.88496,0.539181,0.0103197,-0.6
0.246468,3.88496,0.539181,0.0103197,-0.95
0.246468,3.95392,0.539181,0.0103197,-0.55
0.246468,3.88496,0.539181,0.0103197,-4.38
0.246468,3.95392,0.539181,0.0103197,-0.55
0.136441,3.98584,0.482667,0.0440338,-4.43
0.246468,3.88496,0.539181,0.0103197,-0.84
0.246964,3.88496,0.539181,0.0103197,-7.45
0.246964,3.88496,0.539181,0.0103197,-0.7
0.246468,3.88496,0.539181,0.0103197,-1.68
0.246468,3.95392,0.539181,0.0103197,-0.5
0.246468,3.88496,0.615077,0.0103197,-0.69
0.135412,4.00252,0.461005,0.02782,-0.6
0.246468,3.88496,0.539181,0.0103197,-1.72
0.246964,3.88496,0.539181,0.0103197,-0.65
0.246964,3.88496,0.539181,0.0103197,-0.53
0.246468,3.88496,0.539181,0.0103197,-2.79
0.246468,3.88496,0.539181,0.0103197,-0.84
0.246468,3.88496,0.539181,0.0103197,-2.79
