p_div,func_decline,p_diff,p_die,fitness
0.187205,12.3107,0.173805,0.625806,-2.35
0.185364,15.2414,0.601556,0.0691359,-2.17
0.221626,6.32086,0.0339869,0.604222,-2.35
0.507787,19.7404,0.149685,0.303052,-1.65
0.0710521,15.3448,0.423184,0.0945329,-2.26
0.271153,7.95854,0.610979,0.0138104,-1.82
0.401345,4.82553,0.526737,0.0246008,-1.64
0.430327,4.36788,0.525911,0.00585027,-1.28
0.403762,3.14499,0.316489,0.225388,-2.33
0.513178,11.6674,0.0690575,0.269408,-0.33
0.378805,10.61,0.164102,0.249461,-2.21
0.192192,13.9112,0.286828,0.176915,-2.34
0.0890678,15.8962,0.768335,0.0719059,-2.26
0.336879,6.14159,0.173423,0.0704821,-0.83
0.18311,8.69554,0.374405,0.367602,-2.35
0.555537,9.76129,0.358143,0.0234597,-0.02
0.0768672,0.603782,0.383698,0.0680796,-2.19
0.244099,16.3111,0.66967,0.0360259,-2.0
0.213718,3.88273,0.371609,0.185873,-2.35
0.302835,9.94851,0.377654,0.0858184,-2.17
0.544709,10.7343,0.0156613,0.390152,-1.03
0.370775,7.87033,0.0459377,0.556392,-2.35
0.335198,11.0156,0.358781,0.025264,-1.45
0.525404,0.664677,0.283337,0.180762,-1.32
0.0456678,3.32833,0.326336,0.148195,-2.33
0.204975,17.7266,0.685732,0.0971919,-2.21
0.458272,19.9854,0.193601,0.0527411,-0.5
0.0631054,10.296,0.926907,0.00712452,-1.93
0.582384,2.77721,0.0104486,0.158937,-4.29
0.112101,1.09357,0.887015,0.000654793,-1.68
0.35401,7.35721,0.551823,0.0301549,-1.83
0.204076,18.1317,0.275464,0.357473,-2.35
0.107621,6.09844,0.222882,0.38816,-2.35
0.414547,10.3299,0.448983,0.0274033,-1.51
0.369137,11.215,0.414621,0.0948532,-2.15
0.541086,4.15687,0.0889831,0.125043,-2.91
0.382067,0.806853,0.0635003,0.0410498,-2.41
0.540942,1.03016,0.0772083,0.290185,-0.59
0.472932,14.6113,0.378249,0.0114601,-0.93
0.106522,11.8509,0.198866,0.473188,-2.35
0.406332,1.57707,0.194333,0.139899,-1.38
0.443229,16.6585,0.497641,0.0286888,-1.63
0.514948,9.14198,0.445755,0.0236488,-1.14
0.220571,19.4498,0.05822,0.283764,-2.35
0.361439,17.2573,0.517536,0.0923575,-2.17
0.332776,4.97378,0.04196,0.399142,-2.32
0.394524,15.6314,0.59553,0.00343221,-1.61
0.232113,7.47445,0.703092,0.0423145,-2.11
0.488338,16.8869,0.0616631,0.148711,-0.95
0.300617,0.614468,0.571361,0.0171096,-1.13
0.416067,11.2275,0.0474015,0.0515378,-3.09
0.436594,2.3768,0.178116,0.0697224,-0.53
0.0749338,13.0684,0.32508,0.132522,-2.32
0.234253,19.8646,0.48034,0.110218,-2.29
0.385128,4.49524,0.521744,0.0138092,-1.39
0.0595411,0.0676997,0.549722,0.0643477,-2.09
0.543902,14.4426,0.395986,0.0585196,-1.24
0.186995,2.64651,0.399312,0.111296,-2.28
0.21911,2.61262,0.423567,0.277104,-2.35
0.235111,5.12924,0.28155,0.316631,-2.35
0.50073,12.769,0.0432022,0.310286,-0.74
0.291933,7.55074,0.606401,0.0328185,-1.86
0.0129993,7.6065,0.179609,0.11452,-2.33
0.470687,4.59472,0.243915,0.0171591,-0.4
0.54136,0.67163,0.330562,0.0872421,-0.44
0.30684,3.44732,0.0475665,0.322965,-2.31
0.00361883,7.66098,0.672289,0.191043,-2.34
0.539603,11.2269,0.105737,0.0395157,-3.92
0.337528,5.08105,0.11899,0.356681,-2.35
0.0196053,18.8333,0.364042,0.424944,-2.35
0.278757,19.4223,0.613782,0.0310493,-1.9
0.526446,4.11609,0.0631457,0.403371,-1.75
0.25926,14.2516,0.57196,0.0479123,-2.06
0.553039,4.79856,0.386215,0.00726963,-0.16
0.228102,18.8047,0.310964,0.440654,-2.35
0.24074,16.8285,0.432891,0.152161,-2.33
0.100507,6.26505,0.723562,0.141471,-2.32
0.317132,17.4282,0.420878,0.0418327,-1.77
0.535086,0.0566097,0.305076,0.122403,-4.41
0.121082,10.8471,0.00984004,0.329366,-2.35
0.30597,7.5063,0.233398,0.198644,-2.3
0.515447,6.85382,0.21519,0.202259,-1.53
0.333091,17.5327,0.25201,0.0829381,-1.86
0.21803,3.37754,0.600296,0.0762709,-2.18
0.261191,19.938,0.677015,0.00615355,-1.7
0.0617056,9.75504,0.0292437,0.456089,-2.35
0.441978,17.7403,0.16349,0.00734777,-1.73
0.102475,2.07128,0.819056,0.00954013,-1.93
0.0482782,12.0184,0.0713825,0.457275,-2.35
0.0905276,3.89976,0.0334581,0.588562,-2.35
0.463431,3.96366,0.0181152,0.421488,-2.1
0.296809,11.3332,0.241962,0.460883,-2.35
0.148036,5.80909,0.358949,0.38177,-2.35
0.105355,11.3521,0.830845,0.0177864,-1.92
0.222324,19.2105,0.127792,0.261781,-2.34
0.0257436,18.5401,0.826764,0.0156412,-1.94
0.0309423,7.8921,0.844714,0.0838678,-2.26
0.520699,9.94653,0.171032,0.0204628,-2.43
0.442654,5.97942,0.341081,0.114775,-2.02
0.555537,9.76129,0.0432022,0.0234597,-6.78
0.0631054,9.76129,0.358143,0.0234597,-1.93
0.555537,9.76129,0.193601,0.0234597,-3.24
0.461197,9.69134,0.4631,-0.0688922,-1.0
0.555537,9.76129,0.358143,0.0234597,-0.09
0.553039,4.79856,0.386215,0.00726963,-0.3
0.553039,4.79856,0.445755,0.00726963,-0.96
0.525404,4.79856,0.386215,0.00726963,-0.77
0.482122,4.87046,0.439489,-0.048603,-0.81
0.628667,10.8065,0.377997,0.0515866,-0.7
0.302835,9.94851,0.521744,0.0858184,-2.24
0.436594,16.6585,0.178116,0.0697224,-0.08
0.371341,11.1144,0.0945637,0.124143,-0.4
0.472932,14.6113,0.378249,0.0114601,-0.49
0.385128,4.49524,0.377654,0.0138092,-1.21
0.235111,5.12924,0.28155,0.316631,-2.35
0.121082,10.8471,0.00984004,0.329366,-2.35
0.0257436,18.5401,0.826764,0.0156412,-1.94
0.335198,11.0156,0.358781,0.025264,-1.49
0.204975,17.7266,0.685732,0.0971919,-2.3
0.540942,1.03016,0.0772083,0.290185,-0.39
0.0257436,18.5401,0.826764,0.0156412,-1.94
0.507787,19.7404,0.149685,0.303052,-1.79
0.543902,14.4426,0.395986,0.0585196,-1.02
0.54136,10.7343,0.330562,0.0872421,-1.13
0.414547,10.3299,0.448983,0.0274033,-1.47
0.335198,11.0156,0.358781,0.025264,-1.44
0.0768672,0.603782,0.383698,0.0680796,-2.15
0.513178,11.6674,0.0690575,0.269408,-0.71
0.515447,6.85382,0.21519,0.202259,-1.34
0.578389,14.2844,0.0920465,0.131541,-2.92
0.317132,4.59472,0.243915,0.0171591,-0.9
0.54136,0.67163,0.330562,0.0872421,-0.57
0.406332,1.57707,0.194333,0.139899,-1.16
0.513178,15.6314,0.59553,0.00343221,-1.46
0.472932,15.2414,0.601556,0.0691359,-2.14
0.385128,0.67163,0.521744,0.0138092,-1.17
0.470687,4.59472,0.243915,0.0171591,-0.06
0.0309423,7.8921,0.844714,0.0838678,-2.32
0.0768672,0.603782,0.383698,0.0680796,-2.2
0.394524,15.6314,0.59553,0.00343221,-1.61
0.58505,11.6375,0.370845,0.215007,-2.34
0.192192,13.9112,0.286828,0.176915,-2.33
0.393806,6.48105,0.564873,-0.0767995,-1.4
0.0482782,12.0184,0.0713825,0.457275,-2.35
0.406332,1.57707,0.194333,0.139899,-1.31
0.401345,4.82553,0.526737,0.0246008,-1.61
0.553039,4.79856,0.0949096,0.00726963,-5.59
0.470687,4.59472,0.243915,0.0171591,-0.81
0.361439,17.2573,0.517536,0.172986,-2.33
0.204975,17.7266,0.685732,0.0971919,-2.24
0.472932,14.6113,0.378249,0.0114601,-0.93
0.336879,6.14159,0.0616631,0.0704821,-0.89
0.540942,1.03016,0.0772083,0.290185,-0.31
0.382067,0.806853,0.0635003,0.0410498,-3.05
0.317132,4.59472,0.243915,0.0171591,-0.86
0.575876,4.74209,0.112575,0.495949,-2.35
0.382067,0.806853,0.0635003,0.0410498,-2.24
0.099554,6.0505,0.0855891,0.0291308,-1.76
0.336879,6.14159,0.173423,0.0704821,-0.79
0.540942,1.03016,0.0772083,0.269408,-0.28
0.0905276,3.89976,0.0334581,0.588562,-2.35
0.515447,6.85382,0.21519,0.202259,-1.58
0.513178,11.6674,0.21519,0.269408,-1.76
0.564849,16.8312,0.0142935,0.139104,-4.8
0.317132,17.4282,0.420878,0.0418327,-1.78
0.468254,14.386,0.0949096,0.0923575,-1.68
0.0595411,0.0676997,0.549722,0.0643477,-2.11
0.336879,11.0156,0.173423,0.0704821,-0.79
0.185364,15.2414,0.601556,0.0691359,-2.22
0.555537,10.296,0.926907,0.00712452,-1.88
0.187205,12.3107,0.173805,0.625806,-2.35
0.30684,3.44732,0.0475665,0.322965,-2.34
0.50073,12.769,0.0432022,0.310286,-1.14
0.0129993,7.6065,0.179609,0.11452,-2.34
0.50073,14.4426,0.395986,0.0585196,-1.42
0.385128,4.49524,0.521744,0.0138092,-1.59
0.472932,14.6113,0.378249,0.0274033,-0.93
0.544709,10.7343,0.0156613,0.390152,-1.22
0.401345,4.82553,0.526737,0.0246008,-1.65
0.401345,4.82553,0.526737,0.0246008,-1.52
0.414547,10.3299,0.448983,0.0274033,-1.63
0.430327,4.36788,0.525911,0.00585027,-1.51
0.543902,14.4426,0.395986,0.0585196,-0.94
0.58505,11.6375,0.370845,0.215007,-2.34
0.443229,2.3768,0.497641,0.0286888,-1.45
0.0456678,3.32833,0.326336,0.148195,-2.35
0.336879,11.0156,0.173423,0.0704821,-1.07
0.204076,18.1317,0.275464,0.357473,-2.35
0.385128,4.49524,0.521744,0.0138092,-1.53
0.185364,15.2414,0.601556,0.0691359,-2.23
0.436594,16.6585,0.178116,0.0697224,-0.31
0.50073,12.769,0.358143,0.310286,-2.35
0.540942,1.03016,0.0772083,0.290185,-0.3
0.515447,6.85382,0.21519,0.202259,-1.29
0.564849,16.8312,0.0142935,0.139104,-5.0
0.470687,4.59472,0.243915,0.0971919,-0.38
0.30597,7.5063,0.233398,0.198644,-2.33
0.468254,14.386,0.0949096,0.0923575,-1.91
0.187205,12.3107,0.173805,0.625806,-2.35
0.470687,16.6585,0.243915,0.0171591,-0.24
0.470687,4.59472,0.497641,0.0171591,-1.33
0.470687,4.59472,0.243915,0.0171591,-0.29
0.470687,4.59472,0.243915,0.0171591,-0.39
0.470687,4.59472,0.243915,0.0171591,-0.41
0.436594,4.59472,0.243915,0.0171591,-0.22
0.540942,4.59472,0.243915,0.0171591,-0.87
0.436594,16.6585,0.178116,0.0697224,-0.09
0.436594,4.79856,0.178116,0.0697224,-0.04
0.339457,16.6126,0.173339,0.201901,-2.1
0.553039,16.6585,0.445755,0.00726963,-0.57
0.513178,15.6314,0.59553,0.00343221,-1.43
0.0595411,0.0676997,0.549722,0.0643477,-2.0
0.443229,2.3768,0.497641,0.0286888,-1.41
0.555537,9.76129,0.0432022,0.0234597,-7.31
0.555537,17.4282,0.420878,0.0418327,-0.79
0.540942,10.7343,0.0772083,0.269408,-0.17
0.436594,4.59472,0.178116,0.0697224,-0.19
0.575876,4.74209,0.112575,0.495949,-2.35
0.575876,4.74209,0.112575,0.495949,-2.35
0.317132,17.4282,0.564873,0.0418327,-2.01
0.204975,17.7266,0.685732,0.0971919,-2.26
0.371341,11.1144,0.0945637,0.124143,-0.42
0.540942,1.03016,0.0772083,0.290185,-0.82
0.336879,6.14159,0.0616631,0.0704821,-1.06
0.414547,10.3299,0.448983,0.0274033,-1.51
0.406332,4.87046,0.439489,-0.048603,-1.2
0.543902,14.4426,0.395986,0.0585196,-1.32
0.0257436,18.5401,0.826764,0.0156412,-1.94
0.406332,1.57707,0.194333,0.139899,-1.28
0.472932,14.6113,0.173423,0.0114601,-1.83
0.50073,1.03016,0.0772083,0.290185,-1.24
0.393806,6.48105,0.420878,-0.0767995,-0.9
0.371341,11.1144,0.0945637,0.124143,-0.61
0.401345,4.82553,0.526737,0.0246008,-1.39
0.185364,15.2414,0.601556,0.0691359,-2.14
0.431195,5.04007,0.592571,0.0464391,-1.9
0.470687,4.59472,0.243915,0.0971919,-0.64
0.336879,11.0156,0.173423,0.0704821,-0.77
0.540942,1.03016,0.0772083,0.269408,-0.28
0.553039,4.79856,0.386215,0.0971919,-1.49
0.470687,4.59472,0.243915,0.00726963,-0.93
0.317132,17.4282,0.420878,0.0418327,-1.93
0.543902,7.8921,0.844714,0.0838678,-2.21
0.482122,4.87046,0.439489,-0.048603,-0.9
0.406332,4.87046,0.439489,-0.048603,-1.27
0.513178,11.6674,0.59553,0.00343221,-1.41
0.185364,15.2414,0.601556,0.0691359,-2.21
0.515447,6.85382,0.21519,0.202259,-1.45
0.513178,11.6674,0.0690575,0.269408,-0.37
0.540942,1.03016,0.173423,0.290185,-1.6
0.543902,11.1144,0.395986,0.0585196,-1.0
0.564849,16.8312,0.0142935,0.139104,-3.73
0.406332,4.87046,0.439489,-0.048603,-1.18
0.553039,4.79856,0.0949096,0.00726963,-6.01
0.553039,4.79856,0.386215,0.290185,-2.35
0.394524,15.6314,0.59553,0.00343221,-1.65
0.54136,0.67163,0.330562,0.0872421,-0.77
0.0257436,18.5401,0.826764,0.0156412,-1.94
0.436594,4.59472,0.178116,0.0697224,-0.1
0.553039,4.79856,0.386215,0.290185,-2.35
0.470687,4.59472,0.243915,0.00726963,-0.76
0.540942,1.03016,0.0772083,0.269408,-0.38
