p_div,func_decline,p_diff,p_die,fitness
0.341635,19.8054,0.106985,0.388346,-15.9926
0.550217,2.4401,0.313897,0.0767685,-0.667324
0.0552131,15.753,0.340063,0.052221,-13.7645
0.348456,1.31409,0.615111,0.00709119,-6.28668
0.554514,15.3507,0.336382,0.100885,-4.50037
0.345244,17.9712,0.196125,0.401843,-16.2038
0.183523,7.91004,0.74261,0.0521628,-13.6643
0.299576,9.19393,0.273696,0.373557,-16.2038
0.244884,13.9829,0.337883,0.0275456,-9.76819
0.344933,15.4112,0.322583,0.310541,-16.2038
0.335342,15.7593,0.330503,0.273126,-16.2038
0.211472,16.9786,0.130661,0.330523,-16.2038
0.338751,1.15853,0.40091,0.144157,-14.2994
0.248111,13.035,0.228868,0.027622,-8.14007
0.241025,10.8832,0.198412,0.241742,-16.2038
0.00720854,18.5225,0.323445,0.610078,-16.2038
0.0798365,1.09173,0.0692502,0.291807,-16.2038
0.0735285,17.0898,0.313134,0.487163,-16.2038
0.267042,9.95579,0.254172,0.428335,-16.2038
0.388604,15.8597,0.476786,0.0560761,-10.4414
0.460822,4.84792,0.494851,0.0173224,-8.39003
0.0791727,10.8464,0.0267834,0.14384,-15.8835
0.395023,19.5074,0.352773,0.0143987,-4.48408
0.553133,11.7194,0.179019,0.258148,-5.79056
0.510689,11.3122,0.408972,0.0761305,-8.10872
0.479493,7.22656,0.344779,0.104658,-9.66221
0.131897,17.9795,0.666571,0.0930199,-15.4239
0.399777,9.52123,0.588672,0.00285111,-9.76452
0.193696,13.8912,0.496945,0.228016,-16.2038
0.352752,2.67068,0.405207,0.068322,-11.2525
0.0633054,10.2067,0.0664063,0.29685,-16.2038
0.262834,5.86249,0.400509,0.0802277,-13.4754
0.322044,0.303097,0.0869987,0.371023,-15.9015
0.467235,18.616,0.477144,0.0449478,-9.90888
0.160679,2.43362,0.669528,0.0324746,-12.3426
0.0145445,6.85755,0.702136,0.0632446,-14.9016
0.0636193,19.1844,0.92744,0.000953478,-12.4367
0.560224,12.6913,0.27529,0.0661674,-0.766068
0.513107,5.45471,0.096894,0.0792373,-15.0535
0.217416,18.7232,0.508349,0.00834697,-11.3661
0.281748,0.676986,0.615363,0.0247804,-6.94677
0.0676282,15.5305,0.21925,0.622867,-16.2038
0.219602,12.5304,0.45618,0.0296247,-11.0218
0.330359,12.6943,0.654152,0.000330993,-9.89222
0.146654,16.8875,0.766186,0.0618538,-14.1397
0.539362,13.4356,0.15559,0.0292744,-25.6157
0.298643,16.0874,0.459363,0.0714024,-13.0835
0.25569,15.1131,0.198589,0.31988,-16.2038
0.577439,13.9945,0.366965,0.00951641,-0.290247
0.00992141,0.176909,0.398039,0.026892,-12.7193
0.0934052,2.37044,0.685406,0.107146,-15.3849
0.231632,6.1885,0.285121,0.361847,-16.2038
0.14779,1.55589,0.823349,0.0248432,-11.4747
0.0278299,14.3716,0.231499,0.519994,-16.2038
0.43519,3.92021,0.554009,0.000284055,-6.39607
0.384651,4.12811,0.141159,0.397611,-16.2038
0.545695,0.717476,0.399789,0.0157494,-4.08116
0.599273,4.72886,0.332883,0.00747519,-4.37323
0.24394,8.20806,0.248508,0.402523,-16.2038
0.570086,17.1779,0.116382,0.10918,-20.1602
0.0482259,2.45597,0.945327,0.00536657,-12.7359
0.375762,14.6659,0.496768,0.0124436,-9.70297
0.20231,9.15029,0.58647,0.199381,-16.2038
0.108185,11.7966,0.802706,0.0828493,-14.9016
0.371618,12.2998,0.022622,0.441251,-16.0934
0.419149,18.955,0.41005,0.162737,-15.7834
0.223794,9.61215,0.416698,0.148613,-16.2038
0.405871,6.43601,0.580797,0.00550528,-7.53527
0.146241,15.8595,0.489879,0.349351,-16.2038
0.0344147,11.495,0.146282,0.558633,-16.2038
0.104173,10.8224,0.807069,0.00188875,-12.2324
0.00615626,2.4262,0.921103,0.0662671,-14.7127
0.41436,16.6612,0.517096,0.0352031,-8.55396
0.228645,16.2397,0.546626,0.0496184,-12.6725
0.469034,18.7695,0.181096,0.265188,-10.9614
0.56476,9.12235,0.096525,0.0685932,-40.9818
0.481638,7.6133,0.285066,0.128894,-4.41037
0.228041,3.23175,0.615555,0.0350849,-11.5609
0.325704,18.9492,0.372719,0.211375,-16.2038
0.0603964,16.8786,0.0964557,0.619849,-16.2038
0.250931,17.8774,0.597352,0.137236,-15.9853
0.0858007,15.01,0.206731,0.271842,-16.2038
0.0758557,2.06562,0.631132,0.0113619,-12.3696
0.401018,12.6468,0.0603572,0.150879,-1.71901
0.463558,15.39,0.32779,0.0334985,-2.75098
0.392628,0.375898,0.244437,0.086481,-1.85691
0.0411675,14.2537,0.719289,0.140775,-16.0934
0.516154,7.41062,0.354318,0.018348,-1.19695
