p_div,func_decline,p_diff,p_die,fitness
0.409784,2.43567,0.22873,0.207655,-0.770199
0.0442768,0.953522,0.750758,0.0872062,-0.72258
0.0380417,3.57491,0.288933,0.567491,-1.01169
0.0862044,10.0819,0.341145,0.324341,-1.01169
0.419041,10.3295,0.433449,0.113512,-0.606398
0.482638,1.73256,0.0604032,0.295681,-1.94421
0.0210333,3.64712,0.525627,0.152344,-0.984576
0.599538,13.4847,0.21112,0.0662221,-25.7154
0.0713052,18.876,0.699146,0.212443,-1.01169
0.30138,17.361,0.672596,0.0120096,-0.18963
0.530257,18.3022,0.447862,0.0121754,-2.25083
0.415041,0.337898,0.353818,0.0131474,-16.8899
0.181744,13.0087,0.413891,0.263704,-1.01169
0.523738,3.87993,0.277997,0.0129845,-15.8023
0.239163,3.221,0.05408,0.0307106,-7.35428
0.56305,6.92155,0.146976,0.0306658,-51.8863
0.0608504,15.0581,0.310235,0.414634,-1.01169
0.515664,13.5545,0.11771,0.243173,-6.06758
0.428511,5.09951,0.23645,0.313664,-0.866903
0.0788744,4.8515,0.634211,0.0020449,-0.368431
0.506334,14.904,0.00777904,0.192074,-23.9257
0.0500311,12.4773,0.77965,0.0876069,-0.858104
0.528438,18.3653,0.346687,0.0211932,-7.89151
0.575752,14.503,0.105193,0.0666593,-60.615
0.284496,19.1987,0.0565839,0.480698,-1.01169
0.0127216,18.1624,0.956728,0.0155024,-0.333076
0.182061,0.851183,0.493811,0.124167,-0.760824
0.242309,0.149047,0.43569,0.0615257,-1.7632
0.262554,3.75397,0.306483,0.344684,-1.01169
0.52107,19.5928,0.333628,0.0634579,-1.98407
0.467627,13.0352,0.144967,0.373969,-0.932829
0.57955,18.3626,0.291791,0.124673,-4.49875
0.127276,11.1017,0.868963,0.0025385,-0.403685
0.474237,16.7907,0.0145886,0.305189,-3.55857
0.145147,5.23421,0.520236,0.252128,-1.01169
0.0167139,16.7821,0.788968,0.0419032,-0.487897
0.05306,2.49685,0.471505,0.391094,-1.01169
0.516885,19.458,0.0554238,0.300249,-3.9563
0.119712,16.2172,0.117166,0.148161,-0.984576
0.258054,18.5875,0.222353,0.320598,-1.01169
0.523534,6.95564,0.207079,0.0782573,-14.0586
0.00443737,9.01781,0.32229,0.48617,-1.01169
0.572484,1.53843,0.362639,0.0628639,-6.2868
0.303439,6.05574,0.680443,0.00190195,-0.22304
0.246541,9.94753,0.357797,0.384013,-1.01169
0.40236,12.1234,0.270358,0.181657,-0.695622
0.344753,2.75145,0.0738637,0.12037,-4.70007
0.0391874,15.267,0.595085,0.3031,-1.01169
0.251171,1.77586,0.202582,0.516657,-1.01169
0.459429,4.38359,0.142515,0.368956,-0.907424
0.139191,5.54901,0.0472763,0.164543,-0.813698
0.0762292,2.24551,0.429367,0.108466,-0.882127
0.254105,18.6951,0.0539756,0.544896,-1.01169
0.56556,1.4821,0.383691,0.0476298,-7.44487
0.4946,19.8582,0.091813,0.156557,-13.9273
0.232146,7.74718,0.120517,0.204971,-0.909774
0.147912,12.0501,0.634628,0.0548369,-0.540581
0.175775,15.6561,0.175711,0.0123065,-0.310922
0.383212,19.15,0.334755,0.00770565,-0.93818
0.445815,16.4384,0.451116,0.0602116,-0.285046
0.262411,13.0058,0.685068,0.00503203,-0.272917
0.0312893,1.45882,0.498924,0.359185,-1.01169
0.456848,15.199,0.124222,0.222778,-2.14483
0.304553,13.1129,0.637264,0.0479703,-0.295225
0.566145,12.33,0.116798,0.303898,-3.36561
0.512269,11.703,0.383831,0.00315715,-4.07027
0.0807491,7.93884,0.629042,0.100862,-0.858104
0.331634,3.13873,0.44799,0.0944021,-0.597261
0.17472,17.4247,0.411719,0.19452,-0.984576
0.0517017,18.3953,0.706372,0.222061,-1.01169
0.293111,3.81148,0.295759,0.0127426,-0.795301
0.0897742,3.07784,0.817139,0.0451152,-0.42338
0.492884,2.40693,0.294087,0.00421031,-14.8094
0.586966,3.53819,0.132949,0.116463,-25.6303
0.469883,13.0723,0.21288,0.0781307,-8.99885
0.553787,7.53716,0.39079,0.0453891,-2.62466
0.148677,6.57831,0.577999,0.246666,-1.01169
0.0922491,14.1301,0.0169026,0.632193,-1.01169
0.521785,4.43133,0.421875,0.0215516,-2.80484
0.4425,4.98717,0.193553,0.272004,-0.71941
0.548375,1.43485,0.352889,0.084496,-3.41368
0.321675,12.2017,0.452032,0.183783,-0.984576
0.291041,17.1503,0.223748,0.193967,-0.87834
0.373901,11.6192,0.551122,0.0272353,-0.0925017
0.0626028,16.5375,0.396484,0.227679,-1.01169
0.208917,13.1565,0.0634651,0.3448,-1.01169
0.00228232,10.465,0.963667,0.00890818,-0.459792
0.177172,19.198,0.483479,0.200722,-1.01169
0.148813,0.727688,0.477003,0.193563,-1.01169
0.470584,1.78415,0.411128,0.0517419,-0.673194
0.2374,4.35367,0.746593,0.00427513,-0.2187
0.0221091,2.1424,0.759979,0.154358,-0.984576
0.502602,6.80782,0.199686,0.0566797,-16.629
0.0756818,15.7059,0.853197,0.0684279,-0.665257
0.558641,4.92068,0.416802,0.0214261,-3.44559
0.271797,9.82083,0.0371788,0.238702,-0.581609
0.45889,8.03664,0.0391354,0.37871,-0.624234
0.0310678,12.7161,0.926848,0.0219719,-0.354092
0.382396,0.891288,0.176464,0.296432,-1.01169
0.125892,14.978,0.339016,0.284299,-1.01169
0.373901,11.6192,0.551122,0.0272353,-0.0830695
0.373901,11.6192,0.551122,0.0272353,-0.147823
0.225397,11.5134,0.487522,0.0446013,-0.296013
0.373901,11.6192,0.551122,0.00503203,-0.225309
0.314273,11.4866,0.584268,-0.00406811,-0.262101
0.30138,17.361,0.77965,0.0120096,-0.316107
0.30138,17.361,0.746593,0.0120096,-0.271525
0.175775,17.361,0.672596,0.0120096,-0.290444
0.30138,17.361,0.672596,0.0120096,-0.184392
0.271797,17.361,0.672596,0.0120096,-0.200889
0.0368421,15.6886,0.186095,-0.0579428,-0.368008
0.0922491,14.1301,0.0169026,0.632193,-1.01169
0.566145,12.33,0.116798,0.303898,-3.234
0.2374,4.35367,0.746593,0.00427513,-0.259332
0.30138,9.82083,0.0371788,0.238702,-0.581383
0.0762292,2.24551,0.429367,0.100862,-0.882127
0.4425,13.1129,0.637264,0.0479703,-0.320625
0.262411,6.05574,0.685068,0.00503203,-0.212429
0.0897742,3.07784,0.817139,0.0451152,-0.387988
0.0127216,18.1624,0.956728,0.0155024,-0.379323
0.492884,2.40693,0.294087,0.00421031,-10.5188
0.470584,1.78415,0.411128,0.0517419,-0.532075
0.175775,12.7161,0.926848,0.0219719,-0.348641
0.147912,12.0501,0.634628,0.0548369,-0.43355
0.303439,6.05574,0.493811,0.00190195,-0.308134
0.00228232,10.465,0.963667,0.00890818,-0.450183
0.470584,1.78415,0.411128,0.0517419,-1.57384
0.40236,12.1234,0.270358,0.181657,-0.804141
0.331634,3.13873,0.44799,0.0944021,-0.635317
0.445815,16.4384,0.451116,0.0602116,-0.235766
