p_div,func_decline,p_diff,p_die,fitness
0.0268918,5.82796,0.231902,0.405567,0.525459
0.363032,13.2186,0.459714,0.0372341,0.13681
0.246498,13.3086,0.305471,0.379064,0.525459
0.429775,16.5277,0.186185,0.334083,0.41561
0.266445,13.0048,0.301636,0.171132,0.467816
0.401805,5.09966,0.0630708,0.340402,0.405836
0.184825,10.2831,0.40042,0.00299994,0.254542
0.489915,15.2539,0.190945,0.246706,0.754611
0.370666,15.4304,0.55924,0.0405772,0.0301021
0.538244,0.30535,0.19483,0.0327782,54.5487
0.458741,11.0902,0.033788,0.0849415,54.5774
0.0795611,10.5463,0.54556,0.291307,0.525459
0.0650712,15.9693,0.292516,0.528623,0.525459
0.22844,9.38861,0.101127,0.182949,0.383407
0.0234278,1.57119,0.545236,0.144882,0.459907
0.585,18.4664,0.223928,0.0760993,29.6805
0.152338,6.15692,0.294684,0.111889,0.418388
0.511387,15.9612,0.231573,0.203239,1.04201
0.550581,8.62559,0.024625,0.370256,4.93001
0.455538,10.2962,0.527296,0.0117709,0.476726
0.0511978,5.87429,0.160718,0.0937686,0.331079
0.372111,2.41368,0.545164,0.0132136,0.409627
0.386882,17.517,0.414653,0.106774,0.301096
0.448226,13.4217,0.203499,0.0863293,7.38199
0.469349,18.5085,0.200093,0.278261,0.540596
0.0611607,0.963736,0.916886,0.00916577,0.158669
0.365007,5.4405,0.582571,0.00937233,0.305757
0.219552,15.3427,0.470261,0.238479,0.525459
0.295488,8.04016,0.214935,0.239424,0.501437
0.550662,2.64507,0.385833,0.0419427,7.77704
0.0636284,5.13782,0.330205,0.564905,0.525459
0.442703,13.3041,0.296288,0.0497682,3.2574
0.24121,12.0202,0.648551,0.0516279,0.151265
0.315629,2.02895,0.212619,0.220981,0.445493
0.108289,3.20412,0.0891664,0.0929352,0.240972
0.36788,5.89418,0.379746,0.0352008,0.32959
0.463717,13.7419,0.104139,0.0652064,34.1466
0.410727,3.55394,0.210172,0.0901595,3.8818
0.447778,10.2826,0.269924,0.0494258,7.02098
0.330587,19.2714,0.367504,0.214245,0.525459
0.381519,18.364,0.192542,0.342786,0.525459
0.290853,4.06671,0.140257,0.30506,0.525459
0.275979,8.108,0.239239,0.440484,0.525459
0.359088,9.83935,0.384912,0.00430451,0.918202
0.314474,0.883603,0.472014,0.102757,0.20594
0.3449,13.8298,0.0543191,0.34349,0.501437
0.296581,5.81945,0.212332,0.43957,0.525459
0.221493,15.8488,0.175499,0.380612,0.525459
0.262,12.7214,0.0475026,0.25429,0.431957
0.138501,18.0941,0.0242132,0.554118,0.525459
0.116826,18.1653,0.43865,0.195636,0.525459
0.1122,4.03806,0.313321,0.495511,0.525459
0.452584,13.8233,0.223613,0.0478513,11.8104
0.126326,2.12006,0.253315,0.205485,0.525459
0.0688771,13.3561,0.194017,0.28312,0.525459
0.378134,9.45675,0.564944,0.044144,0.0600792
0.485769,4.09978,0.233824,0.0696718,9.97693
0.0394285,16.2894,0.919431,0.0199119,0.105184
0.328978,17.4824,0.258153,0.108504,0.235169
0.255402,8.09056,0.626592,0.107185,0.418388
0.285312,3.52425,0.211526,0.314735,0.525459
0.580408,18.6629,0.138764,0.246975,10.1523
