p_div,func_decline,p_diff,p_die,fitness
0.0256252,13.0262,0.643256,0.202751,-0.794234
0.505429,13.5394,0.240725,0.224378,-0.848291
0.0542783,7.84661,0.0489475,0.409708,-0.794234
0.119097,14.1128,0.429471,0.00114212,-0.229879
0.286007,15.5246,0.271761,0.101846,-0.409356
0.152557,17.9879,0.613734,0.123704,-0.767118
0.156113,9.09914,0.804724,0.00639298,-0.217438
0.349477,13.5275,0.444819,0.125469,-0.610945
0.438212,19.3253,0.434591,0.0820278,-0.265879
0.571836,3.44866,0.0801009,0.151676,-42.4048
0.553399,9.13945,0.183609,0.17883,-9.67935
0.417345,14.8882,0.484991,0.00556764,-0.589304
0.1574,18.1811,0.821094,0.0142497,-0.168846
0.371848,5.93069,0.528884,0.0443564,-0.0989415
0.223157,10.3635,0.575229,0.00267306,-0.198013
0.161305,18.0834,0.529335,0.00152281,-0.219277
0.434077,4.4322,0.0399253,0.459788,-0.697524
0.0942523,4.82367,0.0273889,0.622444,-0.794234
0.0901338,16.5486,0.586729,0.1836,-0.767118
0.559982,15.0346,0.172135,0.0563212,-38.3324
0.200005,14.8542,0.109654,0.328565,-0.794234
0.259588,15.1181,0.0625267,0.193232,-0.527239
0.295897,10.81,0.414426,0.0371814,-0.138669
0.423387,15.4196,0.434025,0.0885061,-0.335167
0.24834,0.29567,0.369229,0.305905,-0.767118
0.44617,13.3728,0.519862,0.027277,-0.324372
0.427467,8.17602,0.00693542,0.374212,-0.515851
0.507663,8.92147,0.464639,0.016805,-1.52321
0.314338,7.79766,0.480698,0.0191248,-0.131063
0.218777,10.4408,0.112634,0.050436,-1.16105
0.1852,15.4438,0.196265,0.37317,-0.794234
0.0773715,12.6718,0.00939246,0.628111,-0.794234
0.423043,17.4641,0.226929,0.182998,-0.581432
0.342957,2.55248,0.0746534,0.565139,-0.794234
0.257286,17.0223,0.643913,0.0811777,-0.581183
0.316649,19.9341,0.109848,0.0445719,-8.35469
0.0583994,5.19005,0.676485,0.223678,-0.767118
0.498027,1.54582,0.373145,0.0363359,-4.03516
0.389976,18.4497,0.114513,0.373134,-0.794234
0.383643,5.85524,0.0762875,0.412621,-0.707909
0.4684,1.18122,0.224637,0.0436701,-14.2989
0.156733,1.45696,0.350037,0.235549,-0.767118
0.410553,15.6364,0.220314,0.276309,-0.675185
0.494037,2.53855,0.108286,0.254131,-3.25163
0.175933,16.122,0.515628,0.164729,-0.767118
0.577534,17.1545,0.328959,0.0657472,-10.6382
0.0108686,7.39676,0.477062,0.458762,-0.794234
0.555849,3.60243,0.167564,0.0625875,-35.7719
0.430546,1.21443,0.113273,0.222458,-2.72802
0.568719,15.6969,0.0484798,0.119324,-60.1084
0.443977,12.0869,0.198197,0.0914124,-6.21885
0.174763,2.78007,0.537526,0.271545,-0.794234
0.508807,4.78886,0.297849,0.179577,-0.884323
0.165145,1.05908,0.786479,0.0291587,-0.0507068
0.184289,18.2203,0.478615,0.0643982,-0.376553
0.0552986,1.5915,0.112112,0.44903,-0.794234
0.277726,14.5584,0.522329,0.133437,-0.622297
0.583405,0.632223,0.193273,0.0534806,-48.6802
0.396881,7.7064,0.134332,0.343694,-0.710115
0.569118,19.793,0.111658,0.254864,-9.00901
0.345901,8.83711,0.251696,0.207404,-0.715651
0.379103,6.99385,0.227435,0.238548,-0.658606
0.210153,18.0645,0.427385,0.284941,-0.794234
0.358455,4.80185,0.402366,0.0387795,-0.165295
0.561651,12.2776,0.258799,0.0514369,-17.1058
0.570052,19.8109,0.376988,0.0456715,-4.90024
0.0258891,16.3877,0.60456,0.162823,-0.71744
0.41095,16.3923,0.440303,0.141154,-0.599152
0.131165,18.7417,0.738539,0.0766224,-0.581183
0.22864,6.17883,0.666284,0.0818312,-0.474464
0.489561,9.03729,0.369355,0.0384759,-2.29325
0.267416,17.9028,0.107465,0.00791518,-10.0779
0.410242,9.0501,0.359416,0.141334,-0.481242
0.252939,9.93268,0.204474,0.489782,-0.794234
0.410829,19.1177,0.522797,0.0539989,-0.128353
0.254903,3.56531,0.186045,0.490647,-0.794234
0.127914,5.73784,0.224849,0.476596,-0.794234
0.173704,16.494,0.326443,0.177897,-0.767118
0.398179,6.23875,0.110083,0.459895,-0.794234
0.247383,9.51913,0.322304,0.248105,-0.794234
0.368641,6.38041,0.267144,0.220259,-0.730055
0.521517,14.2216,0.0286472,0.136385,-44.743
0.146236,2.02679,0.105659,0.349818,-0.794234
0.345361,8.78488,0.198493,0.101883,-0.714529
0.0988669,4.51588,0.678882,0.14141,-0.794234
0.367155,18.9217,0.499919,0.132168,-0.651211
0.379411,10.1295,0.198093,0.170601,-0.479926
0.0103801,17.5101,0.278615,0.682343,-0.794234
0.0620869,5.19519,0.925896,0.000827648,-0.341644
0.157694,16.0338,0.384962,0.0982178,-0.633704
0.103549,1.36128,0.65898,0.0703596,-0.474464
0.40049,3.152,0.279842,0.118415,-0.5906
0.575737,18.7591,0.133119,0.225984,-9.58529
0.275738,12.5366,0.508637,0.0772347,-0.376553
0.348023,0.663678,0.0179376,0.390655,-0.614629
0.160041,1.17188,0.177591,0.169312,-0.699933
0.294492,11.7597,0.0794754,0.185792,-0.464008
0.321333,12.3699,0.238967,0.111452,-0.34848
0.139092,3.15279,0.0500338,0.498348,-0.794234
0.361959,17.8389,0.603452,0.0267974,-0.069245
0.321333,1.05908,0.786479,0.0291587,-0.0997605
0.165145,1.05908,0.402366,0.0291587,-0.0692061
0.165145,1.05908,0.786479,0.0772347,-0.375819
0.165145,1.05908,0.786479,0.0291587,-0.050208
0.165145,1.05908,0.925896,0.0291587,-0.0988639
0.165145,1.05908,0.786479,0.132168,-0.659839
