p_div,func_decline,p_diff,p_die,fitness
0.132122,13.3527,0.246833,0.531032,-2.35
0.103498,8.46979,0.576132,0.24518,-2.35
0.0447563,0.515742,0.944912,0.00290513,-1.85
0.233881,17.929,0.540821,0.21261,-2.35
0.451216,15.0431,0.334165,0.0653324,-1.31
0.209313,5.03243,0.0489173,0.0470057,-0.65
0.155052,10.4103,0.602007,0.155111,-2.32
0.19843,10.5085,0.364031,0.0908118,-2.22
0.276853,8.66804,0.155896,0.0980971,-1.67
0.506714,15.2869,0.0870328,0.363041,-1.98
0.0158443,8.48206,0.569065,0.358896,-2.35
0.428623,15.2468,0.039268,0.263736,-0.85
0.483529,4.17905,0.319457,0.00224165,-0.26
0.159463,15.9346,0.409217,0.00251526,-1.79
0.00202504,2.27383,0.417781,0.27451,-2.35
0.458123,14.7387,0.19725,0.304142,-2.3
0.174506,9.77038,0.627339,0.0120438,-1.88
0.115215,10.8769,0.858233,0.0158771,-1.93
0.569565,12.2853,0.17015,0.1164,-1.0
0.268384,7.55408,0.286474,0.368563,-2.35
0.0944569,17.9013,0.352454,0.451326,-2.35
0.585094,10.4062,0.305603,0.0136214,-0.94
0.043236,0.804637,0.927657,0.0276771,-1.93
0.124482,18.0011,0.491224,0.16186,-2.35
0.165264,12.5729,0.0282967,0.713975,-2.35
0.589678,14.4764,0.327293,0.0614504,-0.2
0.223634,6.67431,0.0877895,0.156776,-2.01
0.0389215,17.7012,0.718325,0.191388,-2.34
0.00848606,5.36763,0.691779,0.085885,-2.3
0.445555,7.23566,0.146423,0.192153,-0.95
0.00907634,18.1436,0.130282,0.688609,-2.35
0.0169242,11.0678,0.694026,0.189553,-2.35
0.276304,12.4054,0.297338,0.192183,-2.33
0.584342,19.2214,0.0960484,0.303967,-0.63
0.400958,12.0813,0.332498,0.204595,-2.31
0.0183665,15.976,0.328758,0.26666,-2.35
0.428109,3.33545,0.1993,0.308928,-2.29
0.0169506,13.2393,0.174106,0.0271805,-2.03
0.197146,1.1503,0.620821,0.0372537,-1.93
0.0733616,11.4131,0.103971,0.447195,-2.35
0.00249005,5.14998,0.537753,0.227446,-2.35
0.29935,19.16,0.423415,0.243482,-2.35
0.284913,8.62686,0.481611,0.104149,-2.27
0.217842,1.78615,0.170436,0.150057,-2.2
0.40463,10.9824,0.376719,0.0490521,-1.53
0.525847,2.70915,0.265784,0.131121,-0.89
0.388246,13.715,0.294148,0.314374,-2.35
0.340224,17.6781,0.179811,0.0555197,-0.58
0.338007,5.54938,0.0398702,0.279673,-1.88
0.0951172,10.1979,0.152775,0.623003,-2.35
